AC,DE - RecName: Full
A5A3H3;,Omega-hexatoxin-Ar1d
S0F1N6;,Omega-hexatoxin-Hi1d 
P81597;,Omega-hexatoxin-Hv1d
A5A3H4;,Omega-hexatoxin-Ar1e
S0F1M6;,Omega/kappa-hexatoxin-Ar1g 
P81803;,U1-hexatoxin-Hv1a
Q5Y4U3;,U9-agatoxin-Ao1a
Q5Y4Y5;,U2-agatoxin-Ao1a
P31328;,U2-agatoxin-Aop1a
B3EWY4;,U1-theraphotoxin-Ap1a 
B6DD07;,U11-lycotoxin-Ls1b
B6DD08;,U11-lycotoxin-Ls1b
B6DD09;,U11-lycotoxin-Ls1c
B3EWS7;,Toxin CSTX-14 
B3EWS8;,Toxin CSTX-15 
P83619;,Cupiennin-1a 
P83620;,Cupiennin-1b 
B3EWT6;,Cupiennin-2a 
B3EWT7;,Cupiennin-2b 
B3EWU0;,Cupiennin-2e 
B3EWV1;,Cupiennin-3a 
B3EWV2;,Cupiennin-3b 
B3EWV3;,Cupiennin-3c 
B3EWV4;,Cupiennin-3d 
B3EWV6;,Cupiennin-4a 
B3EWV7;,Cupiennin-4b 
B3EWU9;,Cupiennin-5a 
B3EWW5;,Cupiennin-6a 
B3EWW6;,Cupiennin-6b 
B3EWW7;,Cupiennin-6c 
B3EWW8;,Cupiennin-6d 
P85273;,U14-ctenitoxin-Co1a
A9XDG0;,Omega-lycotoxin-Gsp2671b
A9XDG1;,Omega-lycotoxin-Gsp2671c
P81596;,Omega-hexatoxin-Hv1c
S0F204;,Omega-hexatoxin-Hi1f 
P15971;,Omega-agatoxin-Aa2a
P83247;,M-oxotoxin-Ot1a
C0HLF5;,M-oxotoxin-Ot1b 
P83249;,M-oxotoxin-Ot2b
P83248;,M-oxotoxin-Ot2a
F8J4S0; P86350;,Oxyopinin-4a 
P0DMQ2;,Omega-hexatoxin-Hmo1c 
P0DMQ3;,Omega-hexatoxin-Hmo1d 
A5A3H5;,Omega-hexatoxin-Ar1f
S0F215;,Omega-hexatoxin-Hi1g 
Q5Y4V8;,U3-agatoxin-Ao1a
P11058;,Mu-agatoxin-Aa1b
Q5Y4Y4;,U2-agatoxin-Ao1b
Q5Y4Y3;,U2-agatoxin-Ao1c
Q5Y4Y2;,U2-agatoxin-Ao1d
P83251;,M-oxotoxin-Ot2d
P15969;,Omega-agatoxin-1A
P33034;,Omega-agatoxin-Aa3a
P81746;,Omega-agatoxin-Aa3d
Q5Y4W0;,U6-agatoxin-Ao1a
