AC,DE - RecName: Full
P68424; B3FIU3;,Omega-theraphotoxin-Hs1a
P56676; Q86C48; Q9NJC2;,Mu/omega-theraphotoxin-Hs1a
Q86C49;,U1-theraphotoxin-Hs1f
P68422;,U1-theraphotoxin-Hs1f
P68423;,U4-theraphotoxin-Hs1a
P60975;,Mu-theraphotoxin-Hhn1a
P85505;,Mu-thomitoxin-Hme1a 
P36990;,U3-plectoxin-Pt1a
P49267;,U1-cyrtautoxin-As1a
P49269;,U1-cyrtautoxin-As1b
P49270;,U1-cyrtautoxin-As1c 
P49271;,U3-cyrtautoxin-As1a
P49272;,U1-cyrtautoxin-As1d
P36989;,U2-plectoxin-Pt1a
P86269;,Purotoxin-1 
P61792;,Kappa-sparatoxin-Hv1d
Q7M3P1;,U28-ctenitoxin-Pn1a
Q9TWR5;,U27-ctenitoxin-Pn1a
B6DCU0;,Toxin-like structure LSTX-D1
B6DCU5;,Toxin-like structure LSTX-D6
B6DCU6;,Toxin-like structure LSTX-D7
B6DCU7;,Toxin-like structure LSTX-D8
B6DCJ6;,U1-lycotoxin-Ls1e
B6DCJ7;,U1-lycotoxin-Ls1b
B6DCJ9; B6DCJ8;,U1-lycotoxin-Ls1a
B6DCK0;,U1-lycotoxin-Ls1b
B6DCK1;,U1-lycotoxin-Ls1b
B6DCK2;,U1-lycotoxin-Ls1b
B6DCK3;,U1-lycotoxin-Ls1b
B6DCK4;,U1-lycotoxin-Ls1b
B6DCK5;,U1-lycotoxin-Ls1b
B6DCK9;,U1-lycotoxin-Ls1h
B6DCL0;,U1-lycotoxin-Ls1i
B6DCL1;,U1-lycotoxin-Ls1j
B6DCL4;,U1-lycotoxin-Ls1c
B6DCL9;,U1-lycotoxin-Ls1o
B6DCM1;,U1-lycotoxin-Ls1q
B6DCM2;,U1-lycotoxin-Ls1r
B6DCM3;,U1-lycotoxin-Ls1s
B6DCM4;,U1-lycotoxin-Ls1t
B6DCM5;,U1-lycotoxin-Ls1u
B6DCM7;,U1-lycotoxin-Ls1v
B6DCN0;,U1-lycotoxin-Ls1y
B6DCN1;,U1-lycotoxin-Ls1z
B6DCN2;,U1-lycotoxin-Ls1aa
B6DCN3;,U1-lycotoxin-Ls1bb
B6DCN4;,U1-lycotoxin-Ls1cc
B6DCN5;,U1-lycotoxin-Ls1dd
B6DCN9;,U1-lycotoxin-Ls1hh
B6DCP0;,U1-lycotoxin-Ls1ii
B3FIQ7;,U10-theraphotoxin-Hs2a
P84016;,U6-ctenitoxin-Pr1a
B3FIN4; B3FIN5;,U7-theraphotoxin-Hs1a
P83903;,U1-ctenitoxin-Pr1a
Q6B4T5;,U1-sicaritoxin-Li1a
P83745;,Kappa-theraphotoxin-Tb1a
B3EWT2;,Toxin CSTX-17 
P81791;,U7-ctenitoxin-Pn1a
P81789;,Omega-ctenitoxin-Pn2a 
P0DL38;,Delta/omega-plectoxin-Pt1a 
P81793;,U6-ctenitoxin-Pn1a
P0C2S6;,U9-ctenitoxin-Pn1a
P83915;,U3-ctenitoxin-Pk1a
P83559;,Mu-hexatoxin-Mg2a 
P36984; Q27912;,U1-plectoxin-Pt1b
P30288;,Omega-agatoxin-Aa4a
B6DD52;,U16-lycotoxin-Ls1a
Q75WH3;,U11-hexatoxin-Mg1a
B6DD53;,U16-lycotoxin-Ls1b
P84017;,U13-ctenitoxin-Pn1b
P86418;,Neurotoxin PRTx26An0C3 
B3EWT3;,Toxin CSTX-18 
B3EWT4;,Toxin CSTX-19 
P83996;,U17-ctenitoxin-Pn1a
P85267;,U6-ctenitoxin-Co1a
P29426;,U5-ctenitoxin-Pn1a
P60993;,Kappa-theraphotoxin-Hm2a
Q6B4T4;,U1-sicaritoxin-Li1b
P83746;,Kappa-theraphotoxin-Tb1b
B6DCP6;,U3-lycotoxin-Ls1w
B6DCP7;,U3-lycotoxin-Ls1x
B6DCQ0;,U3-lycotoxin-Ls1a
B6DCQ1;,U3-lycotoxin-Ls1u
B6DCQ2;,U3-lycotoxin-Ls1v
B6DCQ5;,U3-lycotoxin-Ls1a
B6DCQ6;,U3-lycotoxin-Ls1a
B6DCR0;,U3-lycotoxin-Ls1a
B6DCR1;,U3-lycotoxin-Ls1e
B6DCR2;,U3-lycotoxin-Ls1f
B6DCR3; B6DCP9;,U3-lycotoxin-Ls1a
B6DCR4;,U3-lycotoxin-Ls1a
B6DCR5;,U3-lycotoxin-Ls1a
B6DCR6;,U3-lycotoxin-Ls1g
B6DCR7;,U3-lycotoxin-Ls1h
B6DCR8;,U3-lycotoxin-Ls1i
B6DCR9;,U3-lycotoxin-Ls1j
P58605;,Omega-segestritoxin-Sf1a
B6DCS1;,U3-lycotoxin-Ls1l
D2Y2B7;,Hainantoxin-XV.2
D2Y2B8;,Hainantoxin-XV-2
D2Y2B9;,Hainantoxin-XV-3
D2Y2D9;,Hainantoxin-XV-5
B6DCT2;,U3-lycotoxin-Ls1s
W4VRX0;,Toxin ICK-22
W4VSI5;,Toxin ICK-23
W4VSB0;,Toxin ICK-24
P84012;,U7-ctenitoxin-Pk1a
P29423;,U2-ctenitoxin-Pn1a
O76198;,U2-ctenitoxin-Pn1b
P81790;,Omega-ctenitoxin-Pn3a
P0DPG7;,Beta/delta-ctenitoxin-Pr1a 
P85262;,U9-ctenitoxin-Co1a 
P84034;,Delta-ctenitoxin-Pn1b 
P85264;,U15-ctenitoxin-Co1a 
P85266;,U1-ctenitoxin-Co1a 
P29425; Q95UF2;,Delta-ctenitoxin-Pn2a 
P83904;,Delta-ctenitoxin-Pr2d
P61789;,Omega-sparatoxin-Hv1a
P61790;,Omega-sparatoxin-Hv1b
B6DCV1;,U6-lycotoxin-Ls1a
B6DCV2;,U6-lycotoxin-Ls1c
B6DCV4;,U6-lycotoxin-Ls1d
B6DCV6;,U6-lycotoxin-Ls1f
B6DCV7;,U6-lycotoxin-Ls1d
B6DCV9;,U6-lycotoxin-Ls1h
B6DCW3;,U7-lycotoxin-Ls1d
B6DCW4;,U7-lycotoxin-Ls1e
B6DCW9;,U7-lycotoxin-Ls1c
B6DCX8;,U8-lycotoxin-Ls1t
B6DCY5;,U8-lycotoxin-Ls1e
B6DCY8;,U8-lycotoxin-Ls1h
B6DCY9;,U8-lycotoxin-Ls1i
B6DCZ1;,U8-lycotoxin-Ls1k
B6DCZ2;,U8-lycotoxin-Ls1l
B6DCZ3;,U8-lycotoxin-Ls1m
B6DCZ4;,U8-lycotoxin-Ls1m
B6DCZ5;,U8-lycotoxin-Ls1n
B6DCZ6;,U8-lycotoxin-Ls1o
P83901;,U8-ctenitoxin-Pr1a
P0C2S8;,U12-ctenitoxin-Pn1a
B6DD05;,U10-lycotoxin-Ls1b
B6DD06;,U10-lycotoxin-Ls1d
B6DD02;,U10-lycotoxin-Ls1a
B3EWW3;,Cupiennin-7a 
B3EWW4;,Cupiennin-7b 
Q8MTX1;,U3-aranetoxin-Ce1a
P01478;,Delta-hexatoxin-Ar1a 
B6DD36;,U14-lycotoxin-Ls1b
B6DD37;,U14-lycotoxin-Ls1b
B6DD38;,U14-lycotoxin-Ls1a
B6DD39;,U14-lycotoxin-Ls1c
B6DD42;,U15-lycotoxin-Ls1d
B6DD43;,U15-lycotoxin-Ls1a
B6DD44;,U15-lycotoxin-Ls1b
B6DD45;,U15-lycotoxin-Ls1c
B6DD46;,U15-lycotoxin-Ls1d
B6DD49;,U15-lycotoxin-Ls1d
B6DD50;,U15-lycotoxin-Ls1g
P85272;,U2-ctenitoxin-Co1a
P85034;,U17-ctenitoxin-Co1a
P85271;,U4-ctenitoxin-Co1b
P82959; Q86C50;,U1-theraphotoxin-Hs1a
P61104;,Omega-theraphotoxin-Hs2a
P68420;,U3-theraphotoxin-Hs1a
P68421;,U1-theraphotoxin-Hs1a
P85506;,Mu-thomitoxin-Hme1b 
B6DD56;,U19-lycotoxin-Ls1a
B6DD60;,U20-lycotoxin-Ls1a
B6DD61;,U20-lycotoxin-Ls1b
B6DD62;,U20-lycotoxin-Ls1c
B6DCY1;,U20-lycotoxin-Ls1d
P0DL75;,RTX-VII 
B3EWU1;,Short cationic peptide-1a 
B3EWU2;,Short cationic peptide-1b 
B3EWU3;,Short cationic peptide-1c 
B3EWU5;,Short cationic peptide-1e 
B3EWU6;,Short cationic peptide-1f 
B3EWX4;,Short cationic peptide-6d 
P68426;,U6-theraphotoxin-Hs1a
B6DD59;,Toxin-like structure LSTX-R1
B6DCU4;,Toxin-like structure LSTX-D5
B6DCU9;,Toxin-like structure LSTX-D10
B6DCU8;,Toxin-like structure LSTX-D9
B3FIP1;,U8-theraphotoxin-Hs1a
B3FIP2;,U8-theraphotoxin-Hs1b
P83580; A5A3H0;,Omega-hexatoxin-Ar1a
P0C2L5;,Omega-hexatoxin-Hi1a
P0DMQ0;,Omega-hexatoxin-Hmo1a 
S0F1M4;,Omega-hexatoxin-Hvn1a 
A5A3H1;,Omega-hexatoxin-Ar1b
P0C2L4;,Omega-hexatoxin-Hf1a
P0C2L6;,Omega-hexatoxin-Hi1b
P0DMQ1;,Omega-hexatoxin-Hmo1b 
P81595;,Omega-hexatoxin-Hv1b
S0F1N7;,Omega-hexatoxin-Hvn1b 
A5A3H2;,Omega-hexatoxin-Ar1c
P0C2L7;,Omega-hexatoxin-Hi1c
P84018;,U13-ctenitoxin-Pn1c
P11057;,Mu-agatoxin-Aa1a
B3EWN1;,Beta/kappa-theraphotoxin-Pm2a 
B3EWN0;,Beta-theraphotoxin-Pmr1a 
P61504;,U1-segestritoxin-Sf1a 
